date,Inflation,Labour,Financial,Monetary,Real,country,RECESSION
1971-02-01,,,,,,USA,0
1971-02-01,,,,,,DEU,0
1971-02-01,,,,,,FRA,0
1971-02-01,,,,,,AUS,0
1971-02-01,,,,,,GBR,0
1971-02-01,,,,,,JPN,0
1971-02-01,,,,,,CAN,0
1971-03-01,,,,,,DEU,0
1971-03-01,,,,,,CAN,0
1971-03-01,,,,,,USA,0
1971-03-01,,,,,,FRA,0
1971-03-01,,,,,,AUS,0
1971-03-01,,,,,,GBR,0
1971-03-01,,,,,,JPN,0
1971-04-01,,,,,,USA,0
1971-04-01,,,,,,DEU,0
1971-04-01,,,,,,AUS,0
1971-04-01,,,,,,CAN,0
1971-04-01,,,,,,FRA,0
1971-04-01,,,,,,GBR,0
1971-04-01,,,,,,JPN,0
1971-05-01,,,,,,USA,0
1971-05-01,,,,,,DEU,0
1971-05-01,,,,,,AUS,0
1971-05-01,,,,,,CAN,0
1971-05-01,,,,,,JPN,0
1971-05-01,,,,,,FRA,0
1971-05-01,,,,,,GBR,0
1971-06-01,,,,,,AUS,0
1971-06-01,,,,,,JPN,0
1971-06-01,,,,,,FRA,0
1971-06-01,,,,,,USA,0
1971-06-01,,,,,,DEU,0
1971-06-01,,,,,,CAN,0
1971-06-01,,,,,,GBR,0
1971-07-01,,,,,,GBR,0
1971-07-01,,,,,,USA,0
1971-07-01,,,,,,DEU,0
1971-07-01,,,,,,JPN,0
1971-07-01,,,,,,AUS,0
1971-07-01,,,,,,CAN,0
1971-07-01,,,,,,FRA,0
1971-08-01,,,,,,AUS,0
1971-08-01,,,,,,FRA,0
1971-08-01,,,,,,DEU,0
1971-08-01,,,,,,CAN,0
1971-08-01,,,,,,GBR,0
1971-08-01,,,,,,JPN,0
1971-08-01,,,,,,USA,0
1971-09-01,,,,,,FRA,0
1971-09-01,,,,,,GBR,0
1971-09-01,,,,,,DEU,0
1971-09-01,,,,,,CAN,0
1971-09-01,,,,,,USA,0
1971-09-01,,,,,,AUS,0
1971-09-01,,,,,,JPN,0
1971-10-01,,,,,,FRA,0
1971-10-01,,,,,,DEU,0
1971-10-01,,,,,,JPN,0
1971-10-01,,,,,,GBR,0
1971-10-01,,,,,,CAN,0
1971-10-01,,,,,,USA,0
1971-10-01,,,,,,AUS,0
1971-11-01,,,,,,AUS,0
1971-11-01,,,,,,FRA,0
1971-11-01,,,,,,GBR,0
1971-11-01,,,,,,DEU,0
1971-11-01,,,,,,USA,0
1971-11-01,,,,,,CAN,0
1971-11-01,,,,,,JPN,0
1971-12-01,,,,,,DEU,0
1971-12-01,,,,,,FRA,0
1971-12-01,,,,,,USA,0
1971-12-01,,,,,,AUS,0
1971-12-01,,,,,,GBR,0
1971-12-01,,,,,,CAN,0
1971-12-01,,,,,,JPN,0
1972-01-01,,,,,,FRA,0
1972-01-01,,,,,,USA,0
1972-01-01,,,,,,GBR,0
1972-01-01,,,,,,JPN,0
1972-01-01,,,,,,CAN,0
1972-01-01,,,,,,AUS,0
1972-01-01,,,,,,DEU,0
1972-02-01,,,,,,GBR,0
1972-02-01,,,,,,JPN,0
1972-02-01,,,,,,FRA,0
1972-02-01,,,,,,DEU,0
1972-02-01,,,,,,USA,0
1972-02-01,,,,,,AUS,0
1972-02-01,,,,,,CAN,0
1972-03-01,,,,,,GBR,0
1972-03-01,,,,,,AUS,0
1972-03-01,,,,,,USA,0
1972-03-01,,,,,,DEU,0
1972-03-01,,,,,,FRA,0
1972-03-01,,,,,,JPN,0
1972-03-01,,,,,,CAN,0
1972-04-01,,,,,,AUS,0
1972-04-01,,,,,,USA,0
1972-04-01,,,,,,JPN,0
1972-04-01,,,,,,GBR,0
1972-04-01,,,,,,CAN,0
1972-04-01,,,,,,FRA,0
1972-04-01,,,,,,DEU,0
1972-05-01,,,,,,USA,0
1972-05-01,,,,,,JPN,0
1972-05-01,,,,,,CAN,0
1972-05-01,,,,,,AUS,0
1972-05-01,,,,,,DEU,0
1972-05-01,,,,,,GBR,0
1972-05-01,,,,,,FRA,0
1972-06-01,,,,,,CAN,0
1972-06-01,,,,,,DEU,0
1972-06-01,,,,,,JPN,0
1972-06-01,,,,,,FRA,0
1972-06-01,,,,,,GBR,0
1972-06-01,,,,,,USA,0
1972-06-01,,,,,,AUS,0
1972-07-01,,,,,,FRA,0
1972-07-01,,,,,,GBR,0
1972-07-01,,,,,,USA,0
1972-07-01,,,,,,CAN,0
1972-07-01,,,,,,AUS,0
1972-07-01,,,,,,JPN,0
1972-07-01,,,,,,DEU,0
1972-08-01,,,,,,GBR,0
1972-08-01,,,,,,AUS,0
1972-08-01,,,,,,DEU,0
1972-08-01,,,,,,CAN,0
1972-08-01,,,,,,USA,0
1972-08-01,,,,,,JPN,0
1972-08-01,,,,,,FRA,0
1972-09-01,,,,,,DEU,0
1972-09-01,,,,,,CAN,0
1972-09-01,,,,,,USA,0
1972-09-01,,,,,,GBR,0
1972-09-01,,,,,,FRA,0
1972-09-01,,,,,,AUS,0
1972-09-01,,,,,,JPN,0
1972-10-01,,,,,,AUS,0
1972-10-01,,,,,,JPN,0
1972-10-01,,,,,,CAN,0
1972-10-01,,,,,,USA,0
1972-10-01,,,,,,GBR,0
1972-10-01,,,,,,DEU,0
1972-10-01,,,,,,FRA,0
1972-11-01,,,,,,FRA,0
1972-11-01,,,,,,CAN,0
1972-11-01,,,,,,DEU,0
1972-11-01,,,,,,JPN,0
1972-11-01,,,,,,AUS,0
1972-11-01,,,,,,USA,0
1972-11-01,,,,,,GBR,0
1972-12-01,,,,,,AUS,0
1972-12-01,,,,,,DEU,0
1972-12-01,,,,,,CAN,0
1972-12-01,,,,,,USA,0
1972-12-01,,,,,,FRA,0
1972-12-01,,,,,,GBR,0
1972-12-01,,,,,,JPN,0
1973-01-01,,,,,,GBR,0
1973-01-01,,,,,,FRA,0
1973-01-01,,,,,,JPN,0
1973-01-01,,,,,,AUS,0
1973-01-01,,,,,,CAN,0
1973-01-01,,,,,,DEU,0
1973-01-01,,,,,,USA,0
1973-02-01,,,,,,FRA,0
1973-02-01,,,,,,AUS,0
1973-02-01,,,,,,USA,0
1973-02-01,,,,,,GBR,0
1973-02-01,,,,,,JPN,0
1973-02-01,,,,,,DEU,0
1973-02-01,,,,,,CAN,0
1973-03-01,,,,,,DEU,0
1973-03-01,,,,,,CAN,0
1973-03-01,,,,,,USA,0
1973-03-01,,,,,,FRA,0
1973-03-01,,,,,,GBR,0
1973-03-01,,,,,,AUS,0
1973-03-01,,,,,,JPN,0
1973-04-01,,,,,,GBR,0
1973-04-01,,,,,,CAN,0
1973-04-01,,,,,,FRA,0
1973-04-01,,,,,,AUS,0
1973-04-01,,,,,,USA,0
1973-04-01,,,,,,JPN,0
1973-04-01,,,,,,DEU,0
1973-05-01,,,,,,JPN,0
1973-05-01,,,,,,FRA,0
1973-05-01,,,,,,GBR,0
1973-05-01,,,,,,AUS,0
1973-05-01,,,,,,USA,0
1973-05-01,,,,,,CAN,0
1973-05-01,,,,,,DEU,0
1973-06-01,,,,,,DEU,0
1973-06-01,,,,,,JPN,0
1973-06-01,,,,,,FRA,0
1973-06-01,,,,,,GBR,0
1973-06-01,,,,,,USA,0
1973-06-01,,,,,,CAN,0
1973-06-01,,,,,,AUS,0
1973-07-01,,,,,,AUS,0
1973-07-01,,,,,,GBR,0
1973-07-01,,,,,,FRA,0
1973-07-01,,,,,,JPN,0
1973-07-01,,,,,,USA,0
1973-07-01,,,,,,CAN,0
1973-07-01,,,,,,DEU,0
1973-08-01,,,,,,AUS,0
1973-08-01,,,,,,JPN,0
1973-08-01,,,,,,DEU,0
1973-08-01,,,,,,FRA,0
1973-08-01,,,,,,CAN,0
1973-08-01,,,,,,GBR,0
1973-08-01,,,,,,USA,0
1973-09-01,,,,,,JPN,0
1973-09-01,,,,,,GBR,0
1973-09-01,,,,,,AUS,0
1973-09-01,,,,,,CAN,0
1973-09-01,,,,,,FRA,0
1973-09-01,,,,,,DEU,0
1973-09-01,,,,,,USA,0
1973-10-01,,,,,,GBR,0
1973-10-01,,,,,,CAN,0
1973-10-01,,,,,,FRA,0
1973-10-01,,,,,,USA,0
1973-10-01,,,,,,DEU,0
1973-10-01,,,,,,JPN,0
1973-10-01,,,,,,AUS,0
1973-11-01,,,,,,AUS,0
1973-11-01,,,,,,DEU,1
1973-11-01,,,,,,FRA,0
1973-11-01,,,,,,JPN,1
1973-11-01,,,,,,CAN,0
1973-11-01,,,,,,GBR,1
1973-11-01,,,,,,USA,1
1973-12-01,,,,,,USA,1
1973-12-01,,,,,,CAN,0
1973-12-01,,,,,,GBR,1
1973-12-01,,,,,,JPN,1
1973-12-01,,,,,,FRA,0
1973-12-01,,,,,,AUS,0
1973-12-01,,,,,,DEU,1
1974-01-01,,,,,,JPN,1
1974-01-01,,,,,,AUS,0
1974-01-01,,,,,,USA,1
1974-01-01,,,,,,GBR,1
1974-01-01,,,,,,CAN,0
1974-01-01,,,,,,FRA,0
1974-01-01,,,,,,DEU,1
1974-02-01,,,,,,DEU,1
1974-02-01,,,,,,GBR,1
1974-02-01,,,,,,USA,1
1974-02-01,,,,,,CAN,0
1974-02-01,,,,,,FRA,0
1974-02-01,,,,,,JPN,1
1974-02-01,,,,,,AUS,0
1974-03-01,,,,,,GBR,1
1974-03-01,,,,,,DEU,1
1974-03-01,,,,,,AUS,0
1974-03-01,,,,,,USA,1
1974-03-01,,,,,,CAN,0
1974-03-01,,,,,,FRA,0
1974-03-01,,,,,,JPN,1
1974-04-01,,,,,,AUS,0
1974-04-01,,,,,,CAN,0
1974-04-01,,,,,,USA,1
1974-04-01,,,,,,DEU,1
1974-04-01,,,,,,FRA,0
1974-04-01,,,,,,GBR,1
1974-04-01,,,,,,JPN,1
1974-05-01,,,,,,GBR,1
1974-05-01,,,,,,USA,1
1974-05-01,,,,,,CAN,0
1974-05-01,,,,,,FRA,1
1974-05-01,,,,,,AUS,0
1974-05-01,,,,,,DEU,1
1974-05-01,,,,,,JPN,1
