date,regime_id,regime_name,prob_Monetary_S,prob_Multi-Engi,prob_Inflation_
2007-10-01,3,Multi-Engine Crisis (3),3.457314457546881e-45,1.1235698212125665e-56,4.5190375679138126e-08
2007-11-01,3,Multi-Engine Crisis (3),2.6561894677699414e-37,1.5027175982367938e-31,0.00023907799466552258
2007-12-01,3,Multi-Engine Crisis (3),5.622844214518849e-54,6.989109161865093e-11,1.1471582109213553e-10
2008-01-01,3,Multi-Engine Crisis (3),9.711223562613932e-56,1.6982345377755813e-16,1.772447280300151e-10
2008-02-01,3,Multi-Engine Crisis (3),8.148016094022392e-66,1.4467558748329171e-18,1.1274758691842265e-32
2008-03-01,3,Multi-Engine Crisis (3),4.1566316588376726e-63,3.688495073434069e-17,4.941887691438162e-25
2008-04-01,3,Multi-Engine Crisis (3),2.019503031922377e-66,5.799518459319543e-18,2.7227222515913004e-24
2008-05-01,3,Multi-Engine Crisis (3),9.313331375844103e-68,5.47994804263354e-18,8.704474257066639e-25
2008-06-01,3,Multi-Engine Crisis (3),4.236053167028265e-71,7.044552120848546e-17,1.7999852078295776e-22
2008-07-01,3,Multi-Engine Crisis (3),1.2748855932901419e-76,1.0520975731747762e-26,2.896399537460514e-20
2008-08-01,5,Multi-Engine Crisis (4),1.7741314963986515e-107,0.9956389507672524,7.75733129092935e-31
2008-09-01,5,Multi-Engine Crisis (4),1.0494953600930936e-136,0.9999999946925437,4.7485066471898254e-58
2008-10-01,5,Multi-Engine Crisis (4),2.111103793707826e-143,0.9999999958693415,1.6009380407932263e-67
2008-11-01,5,Multi-Engine Crisis (4),6.613393471382068e-149,0.9999999996743831,2.3786359653464215e-60
2008-12-01,5,Multi-Engine Crisis (4),1.3956149902198198e-140,0.999999999985839,1.412891069988168e-38
2009-01-01,5,Multi-Engine Crisis (4),3.8879255306511616e-137,0.9999999999024838,3.8498283961570632e-34
2009-02-01,5,Multi-Engine Crisis (4),2.003206533819837e-139,0.9999999996727994,3.353873901540981e-33
2009-03-01,5,Multi-Engine Crisis (4),1.2217103275907183e-141,0.9999999994152462,2.1582592320326187e-34
2009-04-01,5,Multi-Engine Crisis (4),6.99397287840264e-138,0.9999999923616201,4.457453528956491e-32
2009-05-01,5,Multi-Engine Crisis (4),2.3901110133055438e-136,0.9999998352084984,2.198866782233111e-31
2009-06-01,1,Multi-Engine Crisis,3.0857330546469374e-138,8.809320540800701e-06,2.4314540495238963e-32
2009-07-01,1,Multi-Engine Crisis,1.793192748051207e-136,1.4596157623924358e-09,2.0085153513178935e-33
2009-08-01,1,Multi-Engine Crisis,6.010178719831404e-129,4.7579321786414146e-08,1.306721891278856e-32
2009-09-01,1,Multi-Engine Crisis,5.821938319584855e-119,9.089012075155394e-06,6.55752500138856e-29
2009-10-01,1,Multi-Engine Crisis,3.5219434505945807e-113,2.8013638201030384e-05,5.691011982568735e-26
2009-11-01,1,Multi-Engine Crisis,2.0110355550858913e-106,9.186189916330924e-18,7.641792001936143e-16
2009-12-01,4,Inflation Shock,6.6665597618988905e-102,4.1867390966411102e-255,0.9999948201885316
2010-01-01,4,Inflation Shock,1.2412136842050985e-98,0.0,0.9999999999744897
2010-02-01,4,Inflation Shock,4.0991629425134865e-92,0.0,0.9999999986984403
2010-03-01,4,Inflation Shock,1.8574676391304623e-86,0.0,0.9999999999997282
2010-04-01,4,Inflation Shock,7.198807854271806e-74,0.0,0.9999999999997424
2010-05-01,4,Inflation Shock,1.8335162442649958e-57,0.0,0.9999959035459111
