date,USA_cli,GBR_cli,DEU_cli,CAN_cli,JPN_cli,FRA_cli,AUS_cli,USA_unrate,GBR_unrate,DEU_unrate,CAN_unrate,JPN_unrate,FRA_unrate,AUS_unrate,USA_ip,GBR_ip,DEU_ip,CAN_ip,JPN_ip,FRA_ip,AUS_ip,USA_cpi,GBR_cpi,DEU_cpi,JPN_cpi,FRA_cpi,AUS_cpi,USA_ir3m,GBR_ir3m,DEU_ir3m,CAN_ir3m,JPN_ir3m,FRA_ir3m,AUS_ir3m,USA_irlt,GBR_irlt,DEU_irlt,CAN_irlt,JPN_irlt,FRA_irlt,AUS_irlt
1970-01-01,98.53214,96.91327,101.0704,98.59004,101.5048,100.6587,100.9705,3.9,,,4.5,1.1,,,37.62907,47.30154,56.900845000000004,41.39483,56.97878,65.4875,66.41525,6.179775,4.957397,2.981651,7.751277,5.590551,,8.91,,9.29,9.065,,10.35,5.8,7.79,8.89,7.6,8.34,,8.74,5.95
1970-02-01,98.21946,97.12396,100.7604,98.303,101.559,100.456,100.6929,4.2,,,4.9,1.1,,,37.65511,48.43113,59.05157,43.54691,65.776645,68.41686,67.78271,6.145251,4.930663,2.739726,7.751277,5.581577,,8.58,,9.51,8.575,,9.86,6.3,7.24,8.68,7.8,8.21,,8.84,5.96
1970-03-01,97.94032,97.29564,100.5273,98.0291,101.5073,100.2322,100.3764,4.4,,,5.2,1.0,,,37.75623,50.6903,62.09788,43.37265,72.436885,68.28667,64.13951,5.817174,5.14198,2.961276,7.717095,5.407702,,8.08,,9.81,8.2375,,9.55,7.15,7.07,8.54,8.1,8.05,,8.76,6.05
1970-04-01,97.72107,97.38042,100.3617,97.78548,101.3446,99.99127,100.0545,4.6,,,5.4,1.2,,,37.49081,49.27832,64.55096499999999,43.25465,70.859225,69.19802,68.23685,6.060606,5.618831,3.416857,7.683598,5.448477,,7.51,,9.86,7.738,,8.95,8.6,7.39,8.55,8.1,7.88,,8.63,6.94
1970-05-01,97.59083,97.36708,100.2531,97.5973,101.0845,99.7545,99.79189,4.8,,,5.8,1.1,,,37.50864,45.88346,63.427385,43.04206,72.15971,67.24512,54.66315,6.043956,6.08365,3.181818,7.245587,5.382854,,8.08,,9.93,7.855,,9.02,9.1,7.91,8.8,8.4,8.18,,8.62,6.85
1970-06-01,97.54118,97.29635,100.1789,97.4753,100.7718,99.53884,99.61903,4.9,,,6.1,1.1,,,38.27122,46.64536,66.26023,41.52553,75.04491,68.09138,56.96412,6.010929,5.904618,3.409091,7.066993,5.480365,,8.07,,9.88,7.3275,,9.59,8.7,7.84,8.85,8.7,8.06,,8.55,6.86
1970-07-01,97.54273,97.17733,100.1274,97.40514,100.4184,99.38211,99.53273,5.0,,,6.4,1.2,,,37.38573,48.71352,69.10397,39.4004,76.763505,64.46283,53.53285,5.978261,6.66162,3.409091,5.746265,5.20469,,8.01,,9.59,7.624,,9.1,7.4,7.46,8.5,8.7,7.97,,8.46,6.89
1970-08-01,97.58675,97.04229,100.0797,97.39664,100.0419,99.32584,99.51565,5.1,,,6.1,1.2,,,37.31908,47.44274,59.21088,40.92434,69.9308,64.46283,58.30635,5.405406,6.828528,3.644647,4.458001,5.382692,,7.72,,9.16,7.6275,,8.64,6.8,7.53,8.33,8.4,7.99,,8.39,6.87
1970-09-01,97.69155,96.94682,100.0194,97.45646,99.6549,99.38449,99.53462,5.4,,,6.0,1.3,,,38.05622,47.58393,63.15854,41.9984,76.01986,66.91963,60.06235,5.660378,7.034796,3.644647,5.386267,5.238048,,7.3,,9.36,6.86,,8.28,6.35,7.39,8.43,8.5,7.92,,8.48,6.87
1970-10-01,97.8896,96.89445,99.95249,97.61749,99.2835,99.53828,99.55249,5.5,,,6.0,1.3,,,37.17825,49.41952,66.90307,42.07247,74.972265,69.84899,62.28763,5.630027,7.357358,3.863636,6.557878,5.015322,,6.76,,9.53,6.835,,8.28,6.4,7.33,8.42,8.7,7.93,,8.47,6.88
1970-11-01,98.21911,96.8983,99.8911,97.9082,98.93903,99.75575,99.53024,5.9,,,6.1,1.3,,,36.17579,48.99592,70.74135000000001,42.5969,74.135805,69.39332,59.24995,5.6,7.865169,4.081633,6.988589,4.953341,,6.08,,8.84,6.12,,7.96,6.2,6.84,8.69,8.6,7.8,,8.41,6.83
1970-12-01,98.67146,96.97794,99.83074,98.32914,98.62821,99.97707,99.45411,6.1,,,6.2,1.2,,,36.92957,49.27832,73.96914000000001,40.54097,76.8151,70.43487,62.45919,5.570292,7.886905,4.054054,6.971782,4.946662,,5.67,,8.12,5.582,,7.52,6.5,6.39,8.93,8.2,7.26,,8.26,6.81
1971-01-01,99.16394,97.13367,99.75069,98.82507,98.36725,100.1482,99.33644,5.9,,,6.2,1.1,,,37.2136,48.5831,62.052015,40.26242,62.338415,67.6357,62.21194,5.291005,8.487085,4.008909,6.5,4.698672,,5.09,,7.5,5.775,,6.67,6.6,6.24,8.8,7.7,6.69,,8.33,6.85
1971-02-01,99.60385,97.39917,99.64073,99.3335,98.18842,100.2576,99.19659,5.9,,,6.3,1.2,,,37.24144,48.28993,64.117585,44.10453,69.918885,71.08583,59.8151,5.0,8.516887,4.666667,6.0,4.887984,,4.38,,7.47,5.4725,,6.29,7.6,6.11,8.59,7.7,6.81,,8.4,6.85
1971-03-01,99.93262,97.81056,99.48397,99.79002,98.11083,100.2934,99.06104,6.0,,,6.2,1.2,,,37.30205,50.12628,68.24073000000001,44.26137,75.87934,71.28113,58.13479,4.712042,8.759124,4.646018,5.3,4.974619,,3.85,,7.46,4.092,,6.17,8.0,5.7,8.34,7.9,6.8,,8.42,6.84
1971-04-01,100.1467,98.38477,99.27463,100.1747,98.10574,100.2633,98.93718,5.9,,,6.6,1.2,,,37.36622,49.27832,69.08131,44.53164,75.71405,71.67171,63.53399,4.155844,9.417686,4.845815,5.8,5.050505,,4.45,,6.36,3.745,,5.99,7.8,5.83,8.21,7.9,6.83,,8.43,6.85
1971-05-01,100.2568,99.08052,99.02885,100.4767,98.15678,100.1943,98.8149,5.9,,,6.1,1.2,,,37.63026,48.51827,69.054395,45.23828,74.12709,69.19802,55.81868,4.404145,9.820788,5.066079,6.4,5.331992,,4.98,,6.16,3.9025,,6.53,7.8,6.39,8.09,8.0,7.19,,8.46,6.82
1971-06-01,100.2955,99.87405,98.75317,100.7,98.24216,100.1249,98.69648,5.9,,,6.1,1.2,,,38.62727,50.92251,68.19892,45.60271,78.97195500000001,71.34622,61.50046,4.639175,10.29307,5.274725,6.9,5.310621,,5.4,,6.8,3.91,,6.95,8.15,6.52,8.14,8.2,7.25,,8.45,6.83
