,count,mean,std,min,10%,25%,50%,75%,90%,max,skewness,kurtosis
inflation_yoy,661.0,3.954,2.906,-1.959,1.418,2.145,3.119,4.724,8.255,14.592,1.477,2.068
core_inflation_yoy,661.0,3.886,2.554,0.603,1.736,2.157,2.972,4.73,7.056,13.604,1.624,2.298
infl_exp,279.0,1.958,0.563,-1.399,1.337,1.636,1.994,2.359,2.562,3.411,-1.31,5.194
unemployment_change,661.0,-0.015,1.431,-8.7,-1.0,-0.7,-0.3,0.3,1.5,11.1,1.411,13.272
payroll_growth,661.0,-1.495,2.27,-10.857,-3.921,-2.637,-1.72,-0.569,1.084,13.391,1.478,6.412
jobless_claims_ma,627.0,-0.004,0.299,-0.498,-0.325,-0.196,-0.054,0.137,0.307,2.236,2.245,11.196
fsi,433.0,-0.0,1.0,-1.065,-0.805,-0.604,-0.336,0.389,1.063,5.805,2.87,11.978
custom_fsi,562.0,-0.25,0.808,-3.952,-1.114,-0.712,-0.312,0.16,0.695,4.289,0.417,3.953
real_rate,661.0,0.901,2.784,-8.372,-1.997,-0.929,0.679,2.806,4.538,9.403,-0.104,0.53
yield_spread,598.0,-0.849,0.913,-2.834,-2.172,-1.468,-0.784,-0.188,0.283,2.136,-0.099,-0.473
fed_funds_change,661.0,-0.049,2.185,-7.7,-2.54,-0.93,0.0,0.96,2.39,10.01,0.178,2.497
indpro_growth,661.0,-1.934,4.629,-16.552,-7.329,-4.635,-2.314,0.146,3.342,17.318,0.864,2.202
retail_growth,397.0,-4.745,4.888,-51.85,-8.21,-6.56,-4.62,-3.109,-1.787,19.689,-1.883,26.518
m2_growth,661.0,6.829,4.081,-4.63,2.08,4.645,6.373,8.59,12.136,26.775,1.045,4.199
credit_spread,483.0,2.274,0.689,1.29,1.563,1.755,2.143,2.681,3.138,6.014,1.81,5.904
vix_zscore,422.0,0.015,1.136,-1.505,-1.096,-0.808,-0.27,0.618,1.399,6.192,1.694,4.601
ted_spread,433.0,0.544,0.416,0.069,0.18,0.237,0.43,0.693,1.134,3.353,2.016,6.38
credit_spread_chg,480.0,-0.005,0.369,-1.935,-0.348,-0.186,-0.032,0.14,0.339,2.422,1.105,12.471
yield_curve_chg,595.0,0.002,0.387,-3.186,-0.41,-0.167,0.026,0.201,0.397,1.555,-1.506,11.439
vix_chg,434.0,1.203,3.138,0.0,0.0,0.0,0.0,1.245,3.288,38.108,6.787,64.362
