model,target,roc_auc,pr_auc,brier_score,opt_threshold,n_test,n_recession_test,held_out
Logistic Regression,forward_standard,0.757,0.33,0.185,0.869,565,42,USA
Logistic Regression,forward_start_only,0.757,0.33,0.185,0.869,565,42,USA
XGBoost,forward_standard,0.69,0.144,0.138,0.628000020980835,565,42,USA
XGBoost,forward_start_only,0.69,0.144,0.138,0.628000020980835,565,42,USA
LightGBM,forward_standard,0.704,0.174,0.148,0.69,565,42,USA
LightGBM,forward_start_only,0.704,0.174,0.148,0.69,565,42,USA
Logistic Regression,forward_standard,0.722,0.108,0.202,0.609,565,32,GBR
Logistic Regression,forward_start_only,0.722,0.108,0.202,0.609,565,32,GBR
XGBoost,forward_standard,0.678,0.084,0.174,0.2840000092983246,565,32,GBR
XGBoost,forward_start_only,0.678,0.084,0.174,0.2840000092983246,565,32,GBR
LightGBM,forward_standard,0.674,0.089,0.17,0.2,565,32,GBR
LightGBM,forward_start_only,0.674,0.089,0.17,0.2,565,32,GBR
Logistic Regression,forward_standard,0.783,0.162,0.198,0.53,565,42,DEU
Logistic Regression,forward_start_only,0.783,0.162,0.198,0.53,565,42,DEU
XGBoost,forward_standard,0.722,0.159,0.157,0.652999997138977,565,42,DEU
XGBoost,forward_start_only,0.722,0.159,0.157,0.652999997138977,565,42,DEU
LightGBM,forward_standard,0.687,0.155,0.168,0.688,565,42,DEU
LightGBM,forward_start_only,0.687,0.155,0.168,0.688,565,42,DEU
Logistic Regression,forward_standard,0.753,0.179,0.202,0.658,565,42,CAN
Logistic Regression,forward_start_only,0.753,0.179,0.202,0.658,565,42,CAN
XGBoost,forward_standard,0.739,0.222,0.134,0.6060000061988831,565,42,CAN
XGBoost,forward_start_only,0.739,0.222,0.134,0.6060000061988831,565,42,CAN
LightGBM,forward_standard,0.739,0.244,0.144,0.637,565,42,CAN
LightGBM,forward_start_only,0.739,0.244,0.144,0.637,565,42,CAN
Logistic Regression,forward_standard,0.677,0.177,0.196,0.71,565,56,JPN
Logistic Regression,forward_start_only,0.677,0.177,0.196,0.71,565,56,JPN
XGBoost,forward_standard,0.663,0.159,0.156,0.5640000104904175,565,56,JPN
XGBoost,forward_start_only,0.663,0.159,0.156,0.5640000104904175,565,56,JPN
LightGBM,forward_standard,0.65,0.154,0.165,0.511,565,56,JPN
LightGBM,forward_start_only,0.65,0.154,0.165,0.511,565,56,JPN
Logistic Regression,forward_standard,0.913,0.295,0.198,0.74,565,28,FRA
Logistic Regression,forward_start_only,0.913,0.295,0.198,0.74,565,28,FRA
XGBoost,forward_standard,0.853,0.266,0.154,0.7279999852180481,565,28,FRA
XGBoost,forward_start_only,0.853,0.266,0.154,0.7279999852180481,565,28,FRA
LightGBM,forward_standard,0.866,0.286,0.153,0.736,565,28,FRA
LightGBM,forward_start_only,0.866,0.286,0.153,0.736,565,28,FRA
Logistic Regression,forward_standard,0.565,0.053,0.213,0.773,565,21,AUS
Logistic Regression,forward_start_only,0.565,0.053,0.213,0.773,565,21,AUS
XGBoost,forward_standard,0.571,0.042,0.154,0.2680000066757202,565,21,AUS
XGBoost,forward_start_only,0.571,0.042,0.154,0.2680000066757202,565,21,AUS
LightGBM,forward_standard,0.586,0.044,0.167,0.37,565,21,AUS
LightGBM,forward_start_only,0.586,0.044,0.167,0.37,565,21,AUS
